"","HHID","SINGLE","FEMALE_HEAD","AGE_HEAD","EDUCATION_HEAD","DEPENDENCY_RATIO","SOCIAL_PARTICIPATION","COFFEE_TREES","COFFEE_TREES_SQR","PROPORTION_LAND_RENTED","ASSETS","ALTITUDE","DISTANCE_PAVED_ROAD","DECISION_DISAGREEMENTS","INPUT_PREFERENCES","EASE_MARKETING_PREFERENCES","PRICE_PREFERENCES","RELATIVE_PRICE_DIFFERENTIAL","BINARY_PARTICIPATION","CONTINUOUS_PARTICIPATION"
"1","3568",0,0,64,7,4.5,1,0.8,0.64,0.700009884353069,1.92,1.629,2.19054558970534,1,0,0.207,0.479,0.2,0,0
"2","5653",0,0,60,7,1.5,1,0.8,0.64,0,2.24,1.629,2.19054558970534,1,0,0,1,-0.5,0,0
"3","8307",0,0,57,7,0.666666666666667,1,0.6,0.36,0,1.38,1.629,2.19054558970534,0,0,0,1,-0.2,0,0
"4","8635",0,0,48,7,1.75,1,1,1,0.176224264278237,2.08,1.629,2.19054558970534,0,0.05,0.493,0.083,0.2,0,0
"5","9301",0,0,51,7,1.5,0,0.2,0.04,0.5,1.79,1.629,2.19054558970534,1,0,0,1,-0.5,0,0
"6","5112",0,0,48,12,1.4,1,0.55,0.3025,0.5,1.28,1.629,2.19054558970534,0,0,0,1,0,0,0
"7","2307",0,0,34,7,5,1,1.2,1.44,0.700009884353069,5.07,1.703,2.40734364378817,0,0,0,1,0.2,0,0
"8","5412",0,0,37,12,8,1,0.8,0.64,0.299990115646931,20.08,1.543,3.62598608798244,0,0,0,0.333,0.05,0,0
"9","6601",0,0,70,4,1,0,1.3,1.69,0,6.89,1.65,3.45697769837149,0,0,0,1,-0.4,0,0
"10","8143",0,0,78,12,0.666666666666667,1,15,225,0,20.22,1.543,3.62598608798244,0,0,0,1,-0.05,0,0
"11","1809",0,0,65,7,2,1,1.4,1.96,0,5.6,1.543,3.62598608798244,1,0,0,1,-0.05,0,0
"12","8767",0,0,70,7,1.5,1,0.74,0.5476,0,7.68,1.543,3.62598608798244,1,0,0,0,0.15,0,0
"13","6402",0,0,70,7,2.5,1,1.6,2.56,0.5,3.4,1.359,7.80949542346378,1,0,0,1,0.2,0,0
"14","3709",0,0,50,12,1.28571428571429,1,1.8,3.24,0,1.31,1.359,7.80949542346378,0,0,0,1,0.1,0,0
"15","3434",0,0,45,15,6,0,0.35,0.1225,0,0.7,1.359,7.80949542346378,1,0.056,0,0.364,-0.6,0,0
"16","8975",0,0,40,16,7,1,0.4,0.16,0,1.42,1.359,7.80949542346378,0,0.333,0,0.333,-0.3,0,0
"17","3151",0,1,78,0,2,1,0.9,0.81,0,1.23,1.359,7.80949542346378,0,0.125,0.375,0.375,0.1,0,0
"18","8934",0,0,57,7,3,1,1.5,2.25,0.5,9.3,1.359,7.80949542346378,1,0,0,1,0,0,0
"19","2720",0,0,44,16,6,0,0.8,0.64,0,7,1.359,7.80949542346378,0,0,1,0,0,0,0
"20","5094",0,0,49,9,5,1,0.9,0.81,0,1.89,1.807,0.335774332417609,0,0,1,0,0.2,0,0
"21","3286",1,0,49,12,1.5,1,1.5,2.25,0,2.93,1.807,0.335774332417609,0,0,0,1,0,0,0
"22","4021",0,0,45,9,7,0,1,1,0.176224264278237,2.1,1.807,0.335774332417609,1,0.417,0.064,0.126,0.1,0,0
"23","3831",0,0,58,9,0.166666666666667,1,4,16,0.131567520625271,10.73,1.807,0.335774332417609,1,0,0,1,-0.1,0,0
"24","9925",0,0,61,7,2,1,0.8,0.64,0,0.82,1.807,0.335774332417609,1,0,1,0,-0.1,0,0
"25","9821",0,0,67,7,0,1,0.2,0.04,0,2.94,1.807,0.335774332417609,1,0.385,0.142,0.331,0.3,0,0
"26","7261",0,0,53,7,0.428571428571429,1,1.2,1.44,0.5,3.68,1.761,0.521660160513409,0,0,1,0,-0.05,0,0
"27","4242",0,0,76,7,0.6,1,3,9,0,1.24,1.778,0.13178023290704,0,0,0,1,-1.3,0,0
"28","9315",0,0,87,0,0.5,0,0.7,0.49,0,1.88,1.778,0.13178023290704,1,0.427,0.052,0.387,-0.6,0,0
"29","3727",0,0,53,16,2,1,2,4,0,2.12,1.761,0.521660160513409,1,0,0,1,0.15,0,0
"30","4748",0,0,70,4,0.25,1,0.77,0.5929,0,2.09,1.778,0.13178023290704,1,0,1,0,0.2,0,0
"31","4924",0,0,67,9,1,0,0.3,0.09,0.5,10.26,1.778,0.13178023290704,1,1,0,0,0,0,0
