"","HHID","FEMALE","SINGLE","FEMALE_HEAD","AGE","EDUCATION","DEPENDENCY_RATIO","SOCIAL_PARTICIPATION","COFFEE_TREES","COFFEE_TREES_SQR","PROPORTION_LAND_RENTED","ASSETS","ALTITUDE","DISTANCE_PAVED_ROAD","DECISION_DISAGREEMENTS","INPUT_PREFERENCES","EASE_MARKETING_PREFERENCES","PRICE_PREFERENCES","RELATIVE_PRICE_DIFFERENTIAL","BINARY_PARTICIPATION"
"1","3568",1,0,0,38,7,6,0,0.8,0.64,0.700009884353069,0.02,1.629,2.19054558970534,1,0.166,0.093,0.505,2,0
"2","3568",0,0,0,64,7,4.5,1,0.8,0.64,0.700009884353069,0.96,1.629,2.19054558970534,1,0,0.207,0.479,1,0
"3","5653",0,0,0,60,7,1.5,1,0.8,0.64,0,0.92,1.629,2.19054558970534,1,0,0,1,1,0
"4","5653",1,0,0,53,7,4,1,0.8,0.64,0,1.4,1.629,2.19054558970534,1,0,0,0.333,1,0
"5","8307",0,0,0,57,7,0.666666666666667,1,0.6,0.36,0,0.63,1.629,2.19054558970534,0,0,0,1,1,0
"6","8635",1,0,0,41,7,1.5,1,1,1,0.299990115646931,1.14,1.629,2.19054558970534,0,0.5,0,0.5,1,0
"7","9301",1,0,0,48,7,1.5,0,0.5,0.25,0.299990115646931,2.32,1.629,2.19054558970534,1,0,0,1,1,0
"8","9301",0,0,0,51,7,1.5,0,0.2,0.04,0.5,1.67,1.629,2.19054558970534,1,0,0,1,1,0
"9","5112",1,0,0,44,4,1.5,1,0.5,0.25,0.700009884353069,0.54,1.629,2.19054558970534,0,0,1,0,1,0
"10","5112",0,0,0,48,12,1.4,1,0.55,0.3025,0.5,0.64,1.629,2.19054558970534,0,0,0,1,1,0
"11","8635",0,0,0,48,7,1.75,1,1,1,0.176224264278237,1.14,1.629,2.19054558970534,0,0.05,0.493,0.083,1,0
"12","8307",1,0,0,53,0,1,1,0.35,0.1225,0.176224264278237,0.44,1.629,2.19054558970534,0,1,0,0,1,0
"13","2307",1,0,0,29,12,6,0,1,1,0.700009884353069,0.22,1.703,2.40734364378817,0,0,0,1,1,0
"14","2307",0,0,0,34,7,5,1,1.2,1.44,0.700009884353069,4.87,1.703,2.40734364378817,0,0,0,1,1,0
"15","5412",0,0,0,37,12,8,1,0.8,0.64,0.299990115646931,9.92,1.543,3.62598608798244,0,0,0,0.333,1,0
"16","5412",1,0,0,34,7,3.5,1,0.65,0.4225,0.5,0.24,1.543,3.62598608798244,0,0.667,0,0,1,0
"17","6601",0,0,0,70,4,1,0,1.3,1.69,0,2.83,1.65,3.45697769837149,0,0,0,1,1,0
"18","6601",1,0,0,67,7,1,1,2,4,0,3.86,1.65,3.45697769837149,0,0,0,1,1,0
"19","8143",1,0,0,56,4,0.428571428571429,1,10,100,0,5.24,1.543,3.62598608798244,0,0.333,0,0,1,0
"20","1809",1,0,0,60,7,6,1,1.3,1.69,0,0.33,1.543,3.62598608798244,1,0,0,1,1,0
"21","8767",1,0,0,58,0,0.5,1,0.7,0.49,0,2.12,1.543,3.62598608798244,1,0,0,1,1,0
"22","8143",0,0,0,78,12,0.666666666666667,1,15,225,0,4.92,1.543,3.62598608798244,0,0,0,1,1,0
"23","8767",0,0,0,70,7,1.5,1,0.74,0.5476,0,1.72,1.543,3.62598608798244,1,0,0,0,1,0
"24","1809",0,0,0,65,7,2,1,1.4,1.96,0,2.86,1.543,3.62598608798244,1,0,0,1,1,0
"25","6402",0,0,0,70,7,2.5,1,1.6,2.56,0.5,1.14,1.359,7.80949542346378,1,0,0,1,1,0
"26","6402",1,0,0,56,7,3,1,1.4,1.96,0.5,0.47,1.359,7.80949542346378,1,0.249,0.072,0.519,1,0
"27","3709",0,0,0,50,12,1.28571428571429,1,1.8,3.24,0,0.54,1.359,7.80949542346378,0,0,0,1,1,0
"28","3709",1,0,0,43,7,1,1,1,1,0,1.29,1.359,7.80949542346378,0,0.667,0,0,1,0
"29","3434",0,0,0,45,15,6,0,0.35,0.1225,0,0.29,1.359,7.80949542346378,1,0.056,0,0.364,1,0
"30","3434",1,0,0,38,16,2.5,1,1.2,1.44,0.299990115646931,0.77,1.359,7.80949542346378,1,0,0,1,1,0
"31","8975",1,0,0,36,16,7,1,0.45,0.2025,0,0.83,1.359,7.80949542346378,0,0,0,1,1,0
"32","3151",1,0,1,78,0,2,1,0.9,0.81,0,0.59,1.359,7.80949542346378,0,0.125,0.375,0.375,1,0
"33","8975",0,0,0,40,16,7,1,0.4,0.16,0,0.77,1.359,7.80949542346378,0,0.333,0,0.333,1,0
"34","8934",0,0,0,57,7,3,1,1.5,2.25,0.5,4.59,1.359,7.80949542346378,1,0,0,1,1,0
"35","2720",0,0,0,44,16,6,0,0.8,0.64,0,5.4,1.359,7.80949542346378,0,0,1,0,1,0
"36","2720",1,0,0,35,12,6,0,0.83,0.6889,0,0.45,1.359,7.80949542346378,0,0.191,0.14,0.467,1,0
"37","5094",0,0,0,49,9,5,1,0.9,0.81,0,1.77,1.807,0.335774332417609,0,0,1,0,1,0
"38","5094",1,0,0,41,7,5,0,0.982,0.964324,0,1.17,1.807,0.335774332417609,0,0,0,1,1,0
"39","3286",0,1,0,49,12,1.5,1,1.5,2.25,0,1.35,1.807,0.335774332417609,0,0,0,1,1,0
"40","8934",1,0,0,49,0,1.8,1,0.8,0.64,0,0.79,1.359,7.80949542346378,1,0.333,0,0,1,0
"41","4021",0,0,0,45,9,7,0,1,1,0.176224264278237,1.12,1.807,0.335774332417609,1,0.417,0.064,0.126,1,0
"42","4021",1,0,0,37,7,6,0,0.9,0.81,0.667032967032967,0.88,1.807,0.335774332417609,1,0,0,1,1,0
"43","3831",1,0,0,54,7,0.166666666666667,1,3,9,0.066561223144853,1.14,1.807,0.335774332417609,1,0,0,0,1,0
"44","3831",0,0,0,58,9,0.166666666666667,1,4,16,0.131567520625271,4.75,1.807,0.335774332417609,1,0,0,1,1,0
"45","9925",0,0,0,61,7,2,1,0.8,0.64,0,0.52,1.807,0.335774332417609,1,0,1,0,1,0
"46","9821",1,0,0,62,0,1,1,0.3,0.09,0,0.68,1.807,0.335774332417609,1,0,0,1,1,0
"47","9925",1,0,0,59,4,2,0,0.8,0.64,0,0.75,1.807,0.335774332417609,1,0,0,0.315,1,0
"48","9821",0,0,0,67,7,0,1,0.2,0.04,0,1.21,1.807,0.335774332417609,1,0.385,0.142,0.331,1,0
"49","7261",0,0,0,53,7,0.428571428571429,1,1.2,1.44,0.5,1.24,1.761,0.521660160513409,0,0,1,0,1,0
"50","4242",1,0,0,65,0,0.6,0,3,9,0,0.57,1.778,0.13178023290704,0,1,0,0,1,0
"51","7261",1,0,0,49,4,0.428571428571429,0,1.1,1.21,0.332967032967033,0.77,1.761,0.521660160513409,0,0,0,1,1,0
"52","9315",0,0,0,87,0,0.5,0,0.7,0.49,0,0.58,1.778,0.13178023290704,1,0.427,0.052,0.387,1,0
"53","4242",0,0,0,76,7,0.6,1,3,9,0,0.55,1.778,0.13178023290704,0,0,0,1,1,0
"54","9315",1,0,0,65,4,1,0,0.3,0.09,0,0.75,1.778,0.13178023290704,1,0,0,1,1,0
"55","3727",1,0,0,42,9,1.4,1,1.7,2.89,0,0.34,1.761,0.521660160513409,1,0.341,0.473,0.037,1,0
"56","3727",0,0,0,53,16,2,1,2,4,0,0.94,1.761,0.521660160513409,1,0,0,1,1,0
"57","4748",1,0,0,69,1,1,0,0.89,0.7921,0,0.75,1.778,0.13178023290704,1,0,0,1,1,0
"58","4748",0,0,0,70,4,0.25,1,0.77,0.5929,0,1.97,1.778,0.13178023290704,1,0,1,0,1,0
"59","4924",0,0,0,67,9,1,0,0.3,0.09,0.5,4.61,1.778,0.13178023290704,1,1,0,0,1,0
"60","4924",1,0,0,49,9,1,1,0.33,0.1089,0.5,0.52,1.778,0.13178023290704,1,0,0,1,1,0
"61","2102",0,0,0,75,9,0.4,1,1.6,2.56,0.299990115646931,1.55,1.652,5.71880647706575,1,0,1,0,1,0
"62","2430",0,0,0,53,9,2,1,0.7,0.49,0,0.33,1.655,5.12444973899021,0,0,0,1,1,0
"63","2430",1,0,0,38,7,0.833333333333333,1,2,4,0,1.42,1.655,5.12444973899021,0,0.333,0,0,1,0
"64","3506",0,0,0,56,12,2,0,0.2,0.04,0,5.07,1.655,5.12444973899021,0,1,0,0,1,0
"65","3506",1,0,0,53,7,2,1,1.3,1.69,0,0.67,1.655,5.12444973899021,0,0,0,1,2,0
"66","2102",1,0,0,64,4,1,0,0.9,0.81,0,0.89,1.652,5.71880647706575,1,0,0,1,1,0
