"","Number_observations","Median_price","Minimum_price","Maximum_price"
"asikenwo",2,2125,2050,2200
"chebukoch",8,1950,1133,2250
"chema",11,1900,1800,2200
"chemosong",8,1850,1500,2000
"chemuron",14,2050,1700,2350
"chepterit",2,1617,1167,2067
"cheptilyal",16,1900,1250,2150
"chesabit",8,2100,1650,2800
"chesakat",8,1900,1750,2100
"chesiyo",8,2000,1583,2133
"gamatui",20,2050,1750,2300
"kabukose",21,2050,1900,2300
"kakwomasewe",4,1825,1800,2050
"kamaido",8,2100,1800,2200
"kamarok",4,2138,1933,2925
"kamasitarit",8,1933,1700,2100
"kapchebunyai",2,1650,1500,1800
"kapchebut",18,2050,1650,2150
"kapchesombe",20,2017,1500,2200
"kapkwai",7,2000,1650,2300
"kapkweiminy",7,2100,2000,2200
"kapkwen",8,1800,1500,2000
"kaplelko",4,1950,1750,2300
"kapmwaryomwo",2,1900,1700,2100
"kapsojom",4,1850,1800,2000
"kartokwet",8,1800,1500,2500
"kawowo",14,2075,1850,2200
"kokwomawe",14,1925,1850,2050
"kukumai",20,2075,1500,2200
"kumunda",2,2250,2250,2250
"kurumbowo",13,1800,1200,2200
"kwomo",12,2033,1800,2133
"mise",6,2100,2050,2200
"mutekere",4,2100,2033,2100
"namakolo",2,1767,1500,2033
"ngangata",4,1892,1750,2050
"nkwat",2,1600,1200,2000
"oniokumu",10,2000,1800,2300
"sirimityo",6,2200,2050,2500
"sukut",4,1800,1800,2000
"sumaton",5,2033,1950,2050
"tangwen",2,1600,1600,1600
"tapchor",5,1950,1900,2000
"tigrim",20,1900,1250,2100
"towei",24,1975,1850,2167
"tulolwo",8,1800,500,2000
"wirr",4,2025,1800,2500
