"","left_95","right_95"
"intercept",-6.90616830534172,-6.78497401220409
"AGE_HEAD",0.0220871689094671,0.0229324921701821
"EDUCATION_HEAD",0.0686156290428098,0.0718464597147216
"DEPENDENCY_RATIO",0.0710936002226099,0.0750678382368699
"SOCIAL_PARTICIPATION",0.591651995902164,0.620634076229515
"COFFEE_TREES",0.00722949782922597,0.0198397761407548
"COFFEE_TREES_SQR",0.00218617186322353,0.00296232108280011
"PROPORTION_LAND_RENTED",-0.353540618013907,-0.305442817648073
"ASSETS",-0.0287370353673012,-0.0260815295241517
"ALTITUDE",2.23601498963777,2.29360493138946
"DISTANCE_PAVED_ROAD",-0.560490567630936,-0.551419371531692
"DECISION_DISAGREEMENTS",-0.908054747198112,-0.886403749392711
"PRICE_PREFERENCES_RESIDUALS",0.308093851612539,0.344104452939287
"INPUT_PREFERENCES_RESIDUALS",-0.629896240214668,-0.582284812796928
"RELATIVE_PRICE_DIFFERENTIAL_RESIDUALS",2.51488472250644,2.58039757311454
"OV",-0.0746304472187163,0.0496660867832619
