"","left_95","right_95"
"intercept",1.281560301849,1.40590633561157
"AGE_HEAD",-0.0182217854656366,-0.0169964170608805
"EDUCATION_HEAD",0.0211780795145043,0.0248900790248364
"DEPENDENCY_RATIO",-0.152736870597441,-0.147476592998492
"SOCIAL_PARTICIPATION",0.359299417233824,0.387254650551837
"COFFEE_TREES",-0.103623034946883,-0.0923090295168556
"COFFEE_TREES_SQR",-0.00615743019633412,-0.00480761626975478
"PROPORTION_LAND_RENTED",0.492449478466475,0.53404195843665
"ASSETS",-0.0090419074873563,-0.00700566349964491
"ALTITUDE",-1.23558977351279,-1.1642689160941
"DISTANCE_PAVED_ROAD",-0.0860356173641112,-0.0720501163951578
"DECISION_DISAGREEMENTS",-0.445505504110071,-0.411278543183127
"PRICE_PREFERENCES",-0.282588099160744,-0.249064714228058
"INPUT_PREFERENCES",1.88762548511078,1.95002488335963
"RELATIVE_PRICE_DIFFERENTIAL",3.42540982517247,3.54341932742805
"OV",-0.000955365129110701,0.0673019885073099
