"","left_95","right_95"
"intercept",1.11964315689233,1.29671823224923
"AGE_HEAD",-0.0126653244226765,-0.0117457511570226
"EDUCATION_HEAD",0.0146409175348208,0.0173528445793468
"DEPENDENCY_RATIO",-0.0486674366144124,-0.0453775912957904
"SOCIAL_PARTICIPATION",-0.0497606274174037,-0.00767082190541207
"COFFEE_TREES",-0.241862588978758,-0.232907313195556
"COFFEE_TREES_SQR",0.000471931254885749,0.00144809980619507
"PROPORTION_LAND_RENTED",0.130263305070194,0.185333263739719
"ASSETS",-0.0112414393862318,-0.0090520144750172
"ALTITUDE",-0.815727874676988,-0.723321874060064
"DISTANCE_PAVED_ROAD",-0.141687700002139,-0.130486138423216
"DECISION_DISAGREEMENTS",-0.803614348835661,-0.771165352720202
"PRICE_PREFERENCES_RESIDUALS",-0.22122626882131,-0.185761936632875
"INPUT_PREFERENCES_RESIDUALS",1.90743667751853,1.96549513056646
"RELATIVE_PRICE_DIFFERENTIAL_RESIDUALS",3.45442238009197,3.56230979946075
"OV",0.0267614813781712,0.0889189317711832
