"","left_95","right_95"
"intercept",-10.0733961604185,-9.99872547987977
"FEMALE",0.907976371282182,0.923044965691122
"AGE",0.0277252810468005,0.0284317094950297
"EDUCATION",0.103262452943811,0.105679271472499
"DEPENDENCY_RATIO",0.0687245636277895,0.0726300249309636
"SOCIAL_PARTICIPATION",0.164313691602067,0.180602130870314
"COFFEE_TREES",-0.0296076147077303,-0.0231326677666197
"COFFEE_TREES_SQR",0.00602074607310246,0.00660846130579319
"PROPORTION_LAND_RENTED",-0.433303790857086,-0.390686874719884
"ASSETS",0.025960549760146,0.0313003038558364
"ALTITUDE",3.54145931816674,3.59156352524608
"DISTANCE_PAVED_ROAD",-0.737958582141621,-0.730932535007326
"DECISION_DISAGREEMENTS",-1.11830220407183,-1.10118971316859
"PRICE_PREFERENCES_RESIDUALS",-0.0942665207002181,-0.0616734084218509
"INPUT_PREFERENCES_RESIDUALS",0.428226014323445,0.456082981924042
"RELATIVE_PRICE_DIFFERENTIAL_RESIDUALS",0.913077232514213,0.923530352956848
"OV",-0.0931893933239288,0.0156523515612097
