"","coefs","standard_errors_coefs","probs_coefs","avg_marginal_effects","avg_marginal_effects_se","avg_marginal_effects_stat","avg_marginal_effects_pval"
"(Intercept)",2.27114478655063,2.34554045358138,0.332903512452707,NA,NA,NA,NA
"AGE_HEAD",-0.0203902825452245,0.010734852726546,0.0575057442977391,-0.00259408891920491,0.00226711358780867,-1.14422538559803,0.252530177850898
"EDUCATION_HEAD",0.0305473266556409,0.0428443775444518,0.475856077155566,0.00388628658847351,0.00807682342637151,0.481165228372389,0.630399071706506
"DEPENDENCY_RATIO",-0.184808330053337,0.0718854249013863,0.0101442389348957,-0.0235116526753295,0.0163018314993957,-1.44227062316287,0.149226044162505
"SOCIAL_PARTICIPATION",0.402296381272509,0.411027875223122,0.327700095374516,0.0482381910803911,0.0795351371305528,0.606501639661607,0.544181693875966
"COFFEE_TREES",-0.159323731128018,0.0987889621034028,0.106794801317011,-0.0202694555380282,0.0231171450053919,-0.876814828703998,0.380587223427405
"PROPORTION_LAND_RENTED",0.535250906804529,1.05181875687683,0.610835421342216,0.0680955961885306,0.18028970203617,0.377700974706082,0.705652743638921
"ASSETS",-0.0159869605307884,0.0357626836947392,0.654854044564864,-0.00203389026482202,0.00895615602849517,-0.227094108047128,0.820350565471426
"ALTITUDE",-1.3765797042143,1.33174956566424,0.301293928179981,-0.17513097963388,0.246247619655499,-0.711198670179586,0.476961132536966
"DISTANCE_PAVED_ROAD",-0.114510297438303,0.135517116981148,0.398117704693415,-0.014568208805658,0.0285128228500027,-0.510935338892852,0.609396334922446
"DECISION_DISAGREEMENTS",-0.529643218692632,0.322650368861866,0.10068554305536,-0.0670148535149598,0.0494381745612478,-1.35552847793635,0.175249241707262
"PRICE_PREFERENCES",-0.377486044473612,0.381790966444741,0.322798001045272,-0.0480244627791616,0.0896436480556502,-0.535726332214284,0.592147702063499
"INPUT_PREFERENCES",2.17122560119422,0.4547006415737,1.79648272279334e-06,0.276227279370152,0.0993717463719948,2.77973658967514,0.00544030078525592
"RELATIVE_PRICE_DIFFERENTIAL",4.00287459169802,0.732059548317692,4.55236638992094e-08,0.509253002962426,0.194181782288891,2.6225580842841,0.00872723901666905
