"","coefs","standard_errors_coefs","probs_coefs","avg_marginal_effects","avg_marginal_effects_se","avg_marginal_effects_stat","avg_marginal_effects_pval"
"(Intercept)",1.95496459428239,2.35638598037584,0.406739346877459,NA,NA,NA,NA
"AGE_HEAD",-0.0132268410587688,0.0107412097137838,0.218169280142387,-0.00168274241789094,0.00138791403536815,-1.21242553573902,0.225349530934075
"EDUCATION_HEAD",0.0215011065993539,0.0427938069237632,0.615361560740988,0.00273540930490548,0.00543853957855935,0.502967619411917,0.614987038231518
"DEPENDENCY_RATIO",-0.0641485237286778,0.0637484666213848,0.314283035308532,-0.00816109012304865,0.00804162247917433,-1.01485616169917,0.310174397764036
"SOCIAL_PARTICIPATION",-0.172750083735561,0.378281104229266,0.647907398294834,-0.0225149786424041,0.0505910868366026,-0.445038445509626,0.656291970981406
"COFFEE_TREES",-0.201141611241333,0.0926722870220457,0.029971918401078,-0.0255895961619886,0.0126881070600707,-2.01681748434475,0.0437145636389031
"PROPORTION_LAND_RENTED",0.138567615405213,1.01519948856473,0.891431564485171,0.0176288203021787,0.128527876842012,0.137159507612876,0.890904716594009
"ASSETS",-0.0264421702608666,0.0369358421678564,0.474056427938616,-0.00336402027677492,0.00457248936348923,-0.735708715614783,0.46190798443404
"ALTITUDE",-0.843547903934047,1.32685295984182,0.524938823933975,-0.107317675715021,0.171155199311342,-0.627019664882064,0.530646344892967
"DISTANCE_PAVED_ROAD",-0.187652739242512,0.140793198423681,0.182589135669722,-0.0238735177017128,0.0161460561679621,-1.4785974638862,0.139247930950743
"DECISION_DISAGREEMENTS",-0.912444329352729,0.331749229270028,0.0059521872138559,-0.114945718076103,0.0363707499298467,-3.16038900209137,0.00157558625546984
"PRICE_PREFERENCES_RESIDUALS",-0.377485896416563,0.381814807414096,0.322828405775579,-0.0480244320801067,0.0477049010350398,-1.00669807583988,0.314079887081936
"INPUT_PREFERENCES_RESIDUALS",2.1712249906152,0.45470124963713,1.79655171641867e-06,0.27622713343627,0.0515837386646581,5.35492658320097,8.55911628573643e-08
"RELATIVE_PRICE_DIFFERENTIAL_RESIDUALS",4.00287409366457,0.732064749563831,4.55338148547024e-08,0.509252813780047,0.0956357837005765,5.3249191262389,1.009979653329e-07
