"","coefs","standard_errors_coefs","probs_coefs","avg_marginal_effects","avg_marginal_effects_se","avg_marginal_effects_stat","avg_marginal_effects_pval"
"(Intercept)",1.95496459428239,2.35638598037584,0.406739346877459,NA,NA,NA,NA
"AGE_HEAD",-0.0132268410587688,0.0107412097137838,0.218169280142387,-0.00315771566662341,NA,NA,NA
"EDUCATION_HEAD",0.0215011065993539,0.0427938069237632,0.615361560740988,-0.00940679481517019,NA,NA,NA
"DEPENDENCY_RATIO",-0.0641485237286778,0.0637484666213848,0.314283035308532,-0.0104029590731814,NA,NA,NA
"SOCIAL_PARTICIPATION",-0.172750083735561,0.378281104229266,0.647907398294834,-0.0861598643124977,NA,NA,NA
"COFFEE_TREES",-0.201141611241333,0.0926722870220457,0.029971918401078,0.000616567162311047,NA,NA,NA
"PROPORTION_LAND_RENTED",0.138567615405213,1.01519948856473,0.891431564485171,0.056007012524105,NA,NA,NA
"ASSETS",-0.0264421702608666,0.0369358421678564,0.474056427938616,0.00348258200836657,NA,NA,NA
"ALTITUDE",-0.843547903934047,1.32685295984182,0.524938823933975,-0.34726184013043,NA,NA,NA
"DISTANCE_PAVED_ROAD",-0.187652739242512,0.140793198423681,0.182589135669722,0.0830152266333779,NA,NA,NA
"DECISION_DISAGREEMENTS",-0.912444329352729,0.331749229270028,0.0059521872138559,0.12901895706466,NA,NA,NA
"PRICE_PREFERENCES_RESIDUALS",-0.377485896416563,0.381814807414096,0.322828405775579,-0.0522899251496505,NA,NA,NA
"INPUT_PREFERENCES_RESIDUALS",2.1712249906152,0.45470124963713,1.79655171641867e-06,0.0899989555236222,NA,NA,NA
"RELATIVE_PRICE_DIFFERENTIAL_RESIDUALS",4.00287409366457,0.732064749563831,4.55338148547024e-08,-0.38619696179503,NA,NA,NA
