"","GINI","Theil","mld"
"overall",0.396685246182486,0.259899351037871,0.385156861461939
"AGE_HEAD",-0.0190761769322985,-0.028248804062754,0.000878767432574307
"EDUCATION_HEAD",-0.0100046027459034,-0.0166070998751813,-0.016453337560346
"DEPENDENCY_RATIO",0.0001740936285932,0.00448135225518334,0.0188312863813767
"SOCIAL_PARTICIPATION",-0.03919789773255,-0.0730841617658555,-0.0651287608981439
"COFFEE_TREES",-0.000913522354534319,-0.00388165848087906,-0.00858872486904275
"COFFEE_TREES_SQR",0.000968091989376624,0.000845487335802057,-0.0009807448510161
"PROPORTION_LAND_RENTED",-0.00354594872453412,-0.00752582958327542,-0.00771086836395817
"ASSETS",0.00151435549579935,0.00159606438331685,0.00373208446037316
"ALTITUDE",0.00405592669331086,-0.00046718192664238,-0.0718872600176767
"DISTANCE_PAVED_ROAD",-0.192291845763292,-0.377104148244912,-0.531411916204014
"DECISION_DISAGREEMENTS",-0.0704142910191836,-0.135449873705374,-0.131056189881006
"coffee_trees_all",0.00020892896035079,-0.00193565924789184,-0.00755565062886629
"spatial",-0.325823590055485,-0.570160306249198,-0.691070825502919
