"","GINI","Theil","mld"
"overall",0.472995305845544,0.371662423479826,0.541231784977329
"FEMALE",0.00090602207676992,-0.00134402947830684,-0.000540812044268843
"AGE",0.0113487365918505,0.0282974975587337,0.0215696646538338
"EDUCATION",0.0233168719216369,0.0477832180336376,0.0576329034725753
"DEPENDENCY_RATIO",-0.0030713302886668,-0.00437784433211551,0.00782554041009724
"SOCIAL_PARTICIPATION",0.000582903550299166,0.000896784496775625,0.000964032732550221
"COFFEE_TREES",0.0469408552026494,0.11886312680719,0.0910514237338241
"COFFEE_TREES_SQR",0.0157531467959523,0.0343777267481009,0.0502411395586756
"PROPORTION_LAND_RENTED",-0.00691935527500336,-0.0139888023868968,-0.0117987506924001
"ASSETS",0.00563801035991816,0.0121125586509676,0.0110221591582697
"ALTITUDE",0.00396453674102167,-0.00182466885423326,-0.0914004659182672
"DISTANCE_PAVED_ROAD",-0.101850657158941,-0.20742332458929,-0.376715281402275
"DECISION_DISAGREEMENTS",-0.0817899711376045,-0.164744011877798,-0.155184782227279
"coffee_trees_all",0.00578453535308535,0.0125069185527725,0.0143977998283535
"spatial",-0.246801621223247,-0.450676529175495,-0.599541977971875
