"","GINI","Theil","mld"
"overall",0.284085042107925,0.132202320845002,0.166526652713821
"AGE_HEAD",-0.06979805115841,-0.132854610290447,-0.105410839132323
"EDUCATION_HEAD",-0.00791625729249189,-0.0147558724877842,-0.0130571975756152
"DEPENDENCY_RATIO",0.00555776799364451,0.0214183594183424,0.0284673139871422
"SOCIAL_PARTICIPATION",-0.0442530695636419,-0.0830455581417187,-0.0668017831990268
"COFFEE_TREES",-0.0157299621248054,-0.0470466610494125,-0.10673796011348
"COFFEE_TREES_SQR",-0.0293627142155708,-0.0763544385579613,-0.197925439039883
"PROPORTION_LAND_RENTED",-0.0312183879115601,-0.0655191303541425,-0.0492200931432614
"ASSETS",-0.000511411655208282,-0.003404514596604,-0.000845145139854242
"ALTITUDE",-0.0685645979124688,-0.13960154204358,-0.114039064374182
"DISTANCE_PAVED_ROAD",-0.0361535816150313,-0.0687666581412594,-0.0748932607353751
"DECISION_DISAGREEMENTS",-0.0986779480587744,-0.174736122891206,-0.154860048238609
"coffee_trees_all",-0.0420205555343418,-0.10796464335168,-0.226564861599736
"spatial",-0.116535653863632,-0.219445685029057,-0.197644006507967
