"","GINI","Theil","mld"
"overall",0.284084910112327,0.132202238381954,0.166526577724427
"AGE_HEAD",-0.0697979177217381,-0.132854455588802,-0.105410662856791
"EDUCATION_HEAD",-0.00791646749500741,-0.0147562302834869,-0.0130574845006919
"DEPENDENCY_RATIO",0.00555766324235534,0.0214180980808382,0.0284672331059528
"SOCIAL_PARTICIPATION",-0.0442529821098758,-0.0830453650426895,-0.0668015318232947
"COFFEE_TREES",-0.0157304511206596,-0.0470479163072663,-0.1067404017333
"COFFEE_TREES_SQR",-0.0293624524930781,-0.0763538952820282,-0.197924599823896
"PROPORTION_LAND_RENTED",-0.0312184982660472,-0.0655192733840763,-0.0492202292040975
"ASSETS",-0.000511419707912341,-0.00340454291255219,-0.000845175051231455
"ALTITUDE",-0.0685644926553395,-0.1396013478546,-0.114038947231344
"DISTANCE_PAVED_ROAD",-0.0361527722234052,-0.0687651801953854,-0.0748917645000965
"DECISION_DISAGREEMENTS",-0.0986773797787902,-0.174735171768529,-0.154859104912507
"coffee_trees_all",-0.042020843228655,-0.107965302968074,-0.226565500079478
"spatial",-0.116534684878356,-0.219444049171931,-0.197642345256628
