"","GINI","Theil","mld"
"overall",0.551059434868677,0.517638358165038,0.839544756921784
"AGE_HEAD",0.00146643589546704,0.00483166932741603,0.0109334264304371
"EDUCATION_HEAD",-0.0119837760942965,-0.0272490815537376,-0.0216324933508519
"DEPENDENCY_RATIO",-0.00531496237456681,-0.0105785902733406,-0.00994258188641396
"SOCIAL_PARTICIPATION",-0.0312901701333307,-0.0684058250765933,-0.0747954788924763
"COFFEE_TREES",0.000318852009504777,-0.000377349742603443,0.00554107742368965
"COFFEE_TREES_SQR",-0.00918731801496051,-0.0187378758864974,-0.0548600363579697
"PROPORTION_LAND_RENTED",0.00325890973892547,0.00835241901838867,0.00441373531835112
"ASSETS",-0.00562346317085412,-0.0108240447981785,-0.0040917798516477
"ALTITUDE",0.00754512501407475,0.0150884248059952,0.00439778956547277
"DISTANCE_PAVED_ROAD",-0.124095291889744,-0.25774077340721,-0.411083219940259
"DECISION_DISAGREEMENTS",-0.0861043992734322,-0.169577404948337,-0.174132014856489
"coffee_trees_all",-0.00647170621481285,-0.0147337413991208,-0.0570389375146702
"spatial",-0.13832098663401,-0.282286757552586,-0.428332425885279
