"","PSY","ERR","GSC"
"overall",0.49925649427004,0.338817488284288,0.0836900990901275
"AGE_HEAD",-0.00936531628300727,-0.00729328602184936,-0.00741443249181286
"EDUCATION_HEAD",-0.00314438693125761,-0.0022748974833542,-0.00231627742612803
"DEPENDENCY_RATIO",-0.00410430124667071,-0.00126428065518416,-0.00132602459697103
"SOCIAL_PARTICIPATION",-0.00809677382230253,-0.00987511062657398,-0.00996354826265822
"COFFEE_TREES",-0.000598112305292687,-0.000769530335002241,-0.000775900839678256
"PROPORTION_LAND_RENTED",-0.00393770344210707,-0.00545979606554019,-0.00549992486453425
"ASSETS",-0.00636927186814005,-0.00864595812256675,-0.00871161751933873
"ALTITUDE",-0.00378367355196351,-0.0199538356373048,-0.0199285571471307
"DISTANCE_PAVED_ROAD",-0.250140506477372,-0.335567306962109,-0.337795318067859
"DECISION_DISAGREEMENTS",-0.0820475834102029,-0.104815048231599,-0.105663309867273
"spatial",-0.409670816149026,-0.495766368354985,-0.499418525992233
