"","PSY","ERR","GSC"
"overall",0.508749025231827,0.346290185955356,0.085553822803358
"AGE_HEAD",-0.0197359902133308,-0.0180754812974858,-0.0183144552434473
"EDUCATION_HEAD",-0.00991422541827361,-0.0129003228132024,-0.0130029763461136
"DEPENDENCY_RATIO",0.00155168640799041,0.00532391412266424,0.00532554442876396
"SOCIAL_PARTICIPATION",-0.0427133693343667,-0.0539578769529244,-0.0544018591378099
"COFFEE_TREES",-0.000489200038258688,-0.00101213028755618,-0.0010155689573068
"PROPORTION_LAND_RENTED",-0.00408345560990148,-0.00543046054022872,-0.00547232475932496
"ASSETS",0.000424950693131132,0.000908725107840723,0.000911585804675445
"ALTITUDE",-0.00156297338883006,-0.0160256348559539,-0.0159819254792239
"DISTANCE_PAVED_ROAD",-0.238091202248867,-0.322481385584534,-0.32456180915471
"DECISION_DISAGREEMENTS",-0.0811598277673106,-0.104699587789817,-0.105518339600933
"spatial",-0.37000223606331,-0.458130428698372,-0.461367491688344
