"","PSY","ERR","GSC"
"overall",0.538852270134791,0.234830283799402,0.0584066220323456
"FEMALE",-0.000433931172798129,-0.0024409452731309,-0.00244147779907493
"AGE",0.0119191602782949,0.0221083879744174,0.0221614621300303
"EDUCATION",0.0245641001647028,0.0467079892953076,0.0468178036556113
"DEPENDENCY_RATIO",-0.00187255848221676,0.00125679139443684,0.00124452009562029
"SOCIAL_PARTICIPATION",0.00013353407841549,0.000231489145747651,0.00023209070892222
"COFFEE_TREES",0.00092357263298089,0.00101143157024709,0.00101608857966447
"PROPORTION_LAND_RENTED",-0.0069365901231761,-0.0108659500460843,-0.010898024225582
"ASSETS",0.0051239197564829,0.00899523769077594,0.0090183244995801
"ALTITUDE",-0.0037721888408169,-0.0400512637055062,-0.0400407188452
"DISTANCE_PAVED_ROAD",-0.134142357060394,-0.262956918660308,-0.263440182067993
"DECISION_DISAGREEMENTS",-0.0952034593002102,-0.149357475066033,-0.149769331707317
"spatial",-0.289364043621368,-0.449196529902926,-0.450207389944697
