"","PSY","ERR","GSC"
"overall",0.585770674202795,0.283706374397441,0.0705856215282612
"FEMALE",0.0144576205971714,0.0220583884994868,0.022121269076605
"AGE",0.00234001198574436,0.00946127257555095,0.0094658794517821
"EDUCATION",0.00454808354873377,0.0132889427186409,0.0133027379787878
"DEPENDENCY_RATIO",-0.0033907456789748,-0.000663983717960316,-0.000682881895646556
"SOCIAL_PARTICIPATION",-0.00220182030740983,-0.00314096387926951,-0.0031506499123655
"COFFEE_TREES",0.000662616437336989,0.0011286584009556,0.00113140653057454
"PROPORTION_LAND_RENTED",-0.00480669989447902,-0.00849050640349483,-0.00851006324971262
"ASSETS",0.000543279826993985,0.00146498469337426,0.00146673378147582
"ALTITUDE",0.00793141268418414,-0.022883061744625,-0.0228187641238329
"DISTANCE_PAVED_ROAD",-0.171142757625345,-0.346927360628099,-0.347431140708158
"DECISION_DISAGREEMENTS",-0.066374487080062,-0.113683331792462,-0.113941859520789
"spatial",-0.350399615240263,-0.548624603533545,-0.549615847505658
