"","PSY","ERR","GSC"
"overall",0.358528295368361,0.207476501893572,0.0510502780340143
"AGE_HEAD",-0.0669169106124396,-0.0747934274332784,-0.0758009711241881
"EDUCATION_HEAD",-0.00702437115057852,-0.00813459429507128,-0.00824029402274403
"DEPENDENCY_RATIO",0.00454706547194938,0.00656450890511706,0.0066278422679401
"SOCIAL_PARTICIPATION",-0.0402374221873349,-0.045988633316517,-0.0465925371258861
"COFFEE_TREES",-0.0413987898337548,-0.0534502416973306,-0.0540417412472653
"PROPORTION_LAND_RENTED",-0.0324895801777447,-0.0369430033208813,-0.0374323226624317
"ASSETS",-0.00413765820614497,-0.00436621809165407,-0.00443030393718845
"ALTITUDE",-0.0698883227574877,-0.0800903755335459,-0.0811312919314706
"DISTANCE_PAVED_ROAD",-0.0440940953237936,-0.0525042221713249,-0.0531550960032042
"DECISION_DISAGREEMENTS",-0.0944117127438344,-0.108031276013224,-0.109430189526593
"spatial",-0.126512379064324,-0.144537827635023,-0.146398747649397
