"","PSY","ERR","GSC"
"overall",0.62077742786589,0.425272324938357,0.10528731504274
"AGE_HEAD",-0.000146537912661404,-0.000899978653407577,-0.00089861861190582
"EDUCATION_HEAD",0.00463320889720535,0.00679862075528361,0.00683549218577951
"DEPENDENCY_RATIO",0.00318348544987683,0.00488353814565151,0.00490807253996285
"SOCIAL_PARTICIPATION",-0.00822183878446254,-0.00972901487947186,-0.00980271848885653
"COFFEE_TREES",-0.0528668593601761,-0.0716207687869122,-0.0720508179982865
"PROPORTION_LAND_RENTED",-0.000393919952210956,-0.000261481591614369,-0.000265775713625102
"ASSETS",-0.011005437992611,-0.0137475532904745,-0.0138433847223575
"ALTITUDE",0.000446480702679099,-0.000649765727916723,-0.000641425826046093
"DISTANCE_PAVED_ROAD",-0.0109193680995648,-0.0173500867342226,-0.0174311937596292
"DECISION_DISAGREEMENTS",-0.031477407116554,-0.0479314251578348,-0.0481696225990638
"spatial",-0.0132271122809206,-0.0222036288263089,-0.0222972634120835
