"","PSY","ERR","GSC"
"overall",0.544774053058126,0.0766483638921381,0.0189898707413451
"AGE_HEAD",2.00701348970392e-06,0.0072156906601883,0.0072131624323236
"EDUCATION_HEAD",-0.00966099431885208,-0.0148328554964204,-0.0149173741976299
"DEPENDENCY_RATIO",0.00475720483422545,0.00452895485998524,0.00457176723567466
"SOCIAL_PARTICIPATION",-0.0245929683083713,-0.0489305615904355,-0.049137452258865
"COFFEE_TREES",-0.0154619562051789,-0.0350383361790943,-0.0351676580111287
"PROPORTION_LAND_RENTED",0.00245799427189123,0.00877594410678729,0.00879594468131867
"ASSETS",-0.00882111533234503,-0.0176157507186411,-0.01769121605346
"ALTITUDE",0.0153766089814036,0.0307214611858366,0.0308563362525765
"DISTANCE_PAVED_ROAD",-0.222874174882956,-0.441999986427948,-0.443365102708223
"DECISION_DISAGREEMENTS",-0.118082607083954,-0.22629609813723,-0.227188460075476
"spatial",-0.24700717357677,-0.459503673919731,-0.461022980123301
