"","PSY","ERR","GSC"
"overall",0.686194800922201,0.138213990896422,0.0343021924517777
"AGE_HEAD",0.0097129350182134,0.0335616166472891,0.0336234986557903
"EDUCATION_HEAD",-0.0119162650411682,-0.0157587904986526,-0.0158434143164857
"DEPENDENCY_RATIO",-0.00428543073859819,-0.0135079958136528,-0.0135349292377119
"SOCIAL_PARTICIPATION",0.00353364202973623,0.016446676677796,0.0164670973796023
"COFFEE_TREES",-0.00947915780553694,-0.016524105729954,-0.0165894965470973
"PROPORTION_LAND_RENTED",0.00337368616730083,0.00981836534536239,0.00984027448919549
"ASSETS",-0.00807401181328884,-0.0207343460818931,-0.0207868944606804
"ALTITUDE",0.00201938194438899,0.00683289872750412,0.00684557830599487
"DISTANCE_PAVED_ROAD",-0.0559449623113434,-0.251662557428299,-0.25191611741437
"DECISION_DISAGREEMENTS",-0.0558210605450868,-0.169791494824625,-0.170103344204491
"spatial",-0.0876688573901419,-0.298165999590839,-0.298582006062287
