"","PSY","ERR","GSC"
"overall",0.542206380861347,0.35689564103238,0.0853946397152512
"AGE_HEAD",-0.0113862598437568,-0.00933593237584398,-0.00973037465006733
"EDUCATION_HEAD",-0.00278266175331766,-0.0016254005098957,-0.0016823488162619
"DEPENDENCY_RATIO",-0.0039265890667428,-0.000884549016830703,-0.00087999669701395
"SOCIAL_PARTICIPATION",-0.00967866732033682,-0.0120546854348593,-0.0126383363807369
"COFFEE_TREES",-0.00086626638427243,-0.00170894422978273,-0.00179905052004302
"PROPORTION_LAND_RENTED",-0.00452718767628041,-0.00652558292108368,-0.00685188628983086
"ASSETS",-0.00657577488044059,-0.00991067253085167,-0.0104107311681506
"ALTITUDE",-0.00254469186572651,-0.0219169562684043,-0.0231960913437184
"DISTANCE_PAVED_ROAD",-0.227971011929706,-0.330396474498895,-0.347313767935973
"DECISION_DISAGREEMENTS",-0.0761874399967228,-0.102409067403302,-0.107483556594715
"spatial",-0.3957437502165,-0.495003711670618,-0.519946126735003
