"","left_95","right_95"
"intercept",1.22165918645007,1.68611349968676
"AGE_HEAD",-0.0125508090781795,-0.0106668088633341
"EDUCATION_HEAD",0.00681050604428161,0.0136046858815172
"DEPENDENCY_RATIO",-0.0699727871602874,-0.0574456326717331
"SOCIAL_PARTICIPATION",-0.156788518839837,-0.0661923267838248
"COFFEE_TREES",-0.201700469509724,-0.182986948586049
"PROPORTION_LAND_RENTED",0.232606377161479,0.384684178874422
"ASSETS",-0.016883056470911,-0.0114551968878814
"ALTITUDE",-1.08466515897241,-0.853867822589439
"DISTANCE_PAVED_ROAD",-0.157558528113129,-0.131454289056185
"DECISION_DISAGREEMENTS",-0.862025857272174,-0.786108245377486
"PRICE_PREFERENCES_RESIDUALS",-0.370761577760661,-0.276433337296413
"INPUT_PREFERENCES_RESIDUALS",1.71670143981712,1.87262487619703
"RELATIVE_PRICE_DIFFERENTIAL_RESIDUALS",3.2827447317025,3.53753521410906
"OV",-0.0948814678743485,0.0481999129895255
